instrument,samba,mix,sdr,isr,sir,sar,perm
TB,PA,7,-6.687228767804599,1.7180774467768107,-15.08666426892901,10.129636127610514,5.0
TT,PA,7,-4.919532177698619,1.5743849809148291,-10.556738284493816,8.808043078325174,6.0
AG,PA,8,1.8129452565716535,5.219077105463454,3.921021407835096,8.159735330667356,0.0
CX,PA,8,0.17924313107223008,0.5180712507463741,-7.831905758247112,4.34104248128239,1.0
CU,PA,8,8.491080745224295,12.965041547443715,13.261035622483389,11.260160706946056,2.0
PD,PA,8,0.04702537122627893,0.20090056908178025,-7.526114870473771,6.950163842438736,2.0
RR,PA,8,-0.12208902991419293,0.7006974279257631,-10.82969639405755,4.222688187437608,3.0
RP,PA,8,-0.24598624622923976,0.01462237991598677,-23.74877136219972,6.225966453460641,4.0
SK,PA,8,-8.621144272445857,0.0277908477957321,-26.437211676767987,16.370105443815614,5.0
SU,PA,8,-0.2759175655503445,0.008313073065463824,-30.65468262611275,7.778106323322039,5.0
TB,PA,8,-7.0938454307911485,1.7533220150688609,-16.69260740463623,10.052024209897171,6.0
TT,PA,8,-4.892927486820265,1.3840284023607907,-10.823452741518082,8.635602486152788,7.0
AG,PA,9,1.5145588508330574,4.913586053735509,2.5456100218970485,7.2408771058475825,0.0
CX,PA,9,0.11450930440473504,0.46847957808284757,-9.066234108310935,4.379044225702905,1.0
CU,PA,9,8.00507412790125,12.431909441396343,11.758355797063686,10.696268157020759,2.0
PD,PA,9,0.03844543197740298,0.18950912926798677,-7.7223828975271545,6.89221220518146,3.0
RR,PA,9,0.07678745523498798,0.641758685874162,-10.752167130987267,3.2154422659162685,4.0
RP,PA,9,-0.2265805126939617,0.011425485079871095,-25.203811538250495,6.136996566491019,4.0
SK,PA,9,-8.729813990873245,-0.000877810431605127,-26.506516033053114,16.788522925296125,5.0
SU,PA,9,-0.26086097809175224,0.002849274586903711,-35.20159898227583,4.030888685870401,6.0
TB,PA,9,-7.229316289380937,1.6943270684031366,-17.025918841207556,9.935842508543235,7.0
